(Brazzaville) ;;Country;Subject Descriptor;Units;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;Malta;Population;Persons;0,315;0,318;0,32;0,332;0,329;0,332;0,341;0,343;0,346;0,349;0,352;0,356;0,36;0,363;0,366;0,369;0,371;0,374;0,377;0,379;0,38;0,391;0,395;0,397;0,4;0,403;0,405;0,406;0,408;0,411;0,414;0,415;0,418;0,421;0,425;0,427;0,428;0,429;0,431;0,431;0,432
;;Marshall Islands;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-2,873;-2,369;5,914;5,411;2,617;0,274;-0,128;2,632;1,923;3,775;-2,034;-1,656;6,144;0,024;4,721;2,989;0,507;1,695;2,237;1,787;1,77;1,637;1,627
;;Marshall Islands;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,049;0,05;0,051;0,051;0,051;0,05;0,05;0,05;0,051;0,051;0,052;0,052;0,052;0,053;0,053;0,053;0,054;0,054;0,055;0,056;0,057;0,058;0,059;0,06
;;Mauritania;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;1,772;5,874;-3,061;9,82;5,819;-4,045;2,778;7,713;-0,43;2,009;0,665;5,979;5,747;8,969;18,869;2,818;1,08;-1,042;4,774;4,385;5,969;5,469;6,882;4,132;6,378;5,275;4,388;4,935;4,025
;;Mauritania;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,996;2,05;2,108;2,167;2,228;2,292;2,358;2,425;2,495;2,568;2,643;2,72;2,8;2,882;2,965;3,047;2,953;3,036;3,119;3,202;3,285;3,369;3,454;3,537;3,621;3,706;3,794;3,881;3,97;4,058;4,147
;;Mauritius;Gross domestic product, constant prices;Percent change;-10,06;5,882;5,497;0,384;4,775;6,876;9,742;10,163;6,791;4,465;7,187;4,435;6,513;5,082;4,136;4,288;5,588;5,687;6,072;2,611;8,192;3,214;1,627;5,984;4,299;1,453;4,514;5,891;5,511;3,049;4,1;3,886;3,229;3,186;3,617;3,159;3,776;3,559;3,61;3,621;3,611
;;Mauritius;Population;Persons;0,966;0,981;0,993;1,002;1,011;1,02;1,029;1,04;1,043;1,051;1,059;1,07;1,084;1,096;1,111;1,125;1,138;1,15;1,162;1,174;1,186;1,197;1,205;1,213;1,221;1,228;1,234;1,24;1,244;1,247;1,25;1,252;1,256;1,259;1,259;1,259;1,259;1,26;1,26;1,26;1,26
;;Mexico;Gross domestic product, constant prices;Percent change;9,482;8,526;-0,521;-3,486;3,411;2,188;-3,079;1,722;1,283;4,105;5,176;4,215;3,541;2,25;4,727;-5,759;5,875;6,963;4,702;2,667;5,296;-0,605;0,132;1,423;4,296;3,033;5,001;3,148;1,4;-4,7;5,11;4,045;4,018;1,387;2,141;2,312;2,803;3,128;3,223;3,308;3,335
;;Mexico;Population;Persons;71,164;72,745;74,262;75,743;77,231;78,756;80,325;81,932;83,587;85,298;87,069;88,635;90,137;91,605;93,059;94,495;95,881;97,209;98,49;99,711;100,9;102,127;103,423;104,725;105,956;107,156;108,417;109,796;111,304;112,849;114,292;115,685;117,055;118,397;119,715;121,087;122,475;123,879;125,299;126,736;128,188
;;Micronesia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-3,114;-6,071;3,064;1,403;4,602;1,639;0,609;1,828;-3,264;2,181;-0,148;-2,118;-2,455;0,884;3,154;1,829;0,001;-3,889;-1,553;-0,241;1,673;1,007;0,943;0,797;0,705
;;Micronesia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,106;0,106;0,106;0,107;0,107;0,107;0,107;0,106;0,106;0,106;0,106;0,105;0,104;0,104;0,103;0,103;0,104;0,104;0,104;0,104;0,103;0,103;0,103;0,103;0,104;0,104
;;Moldova;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1,2;-30,9;-1,428;-5,877;1,647;-6,542;-3,368;2,108;6,141;7,81;6,623;7,363;7,501;4,785;2,998;7,838;-5,99;7,094;6,816;-0,733;9,4;4,6;-1;1,5;3;3,5;4;4
;;Moldova;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4,4;4,4;3,609;4,346;4,332;4,318;3,656;3,65;3,644;3,635;3,628;3,618;3,607;3,6;3,59;3,581;3,573;3,568;3,564;3,56;3,56;3,559;3,558;3,556;3,554;3,552;3,55;3,548;3,546
;;Mongolia;Gross domestic product, constant prices;Percent change;6,443;8,376;8,331;5,792;5,914;5,679;9,426;3,542;5,146;4,183;-2,486;-9,199;-9,256;-3,169;2,134;6,376;2,235;3,897;3,34;3,07;1,146;4,639;5,267;7,357;9,425;6,507;8,163;8,757;7,819;-2,069;7,313;17,291;12,32;11,649;7,763;3,458;3,599;3,669;6,204;6,569;9,147
;;Mongolia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2,071;2,121;2,161;2,181;2,202;2,235;2,267;2,297;2,328;2,359;2,391;2,425;2,459;2,49;2,519;2,548;2,579;2,615;2,659;2,71;2,755;2,786;2,84;2,882;2,925;2,969;3,014;3,059;3,105;3,152;3,199
;;Montenegro;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,1;1,9;2,5;4,4;4,2;8,6;10,7;6,9;-5,7;2,464;3,228;-2,546;3,338;1,494;3,237;4,927;2,783;2,876;1,606;3,306
;;Montenegro;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,612;0,615;0,615;0,615;0,615;0,616;0,616;0,616;0,617;0,618;0,619;0,621;0,622;0,623;0,624;0,625;0,627;0,628;0,629;0,63;0,631
;;Morocco;Gross domestic product, constant prices;Percent change;3,792;-2,765;9,619;-0,557;4,337;6,324;8,3;-2,544;10,415;2,366;4,035;7,216;-2,098;-0,741;10,588;-5,405;12,373;-1,561;7,239;1,081;1,913;7,32;3,121;5,961;4,797;3,292;7,575;3,532;5,923;4,244;3,816;5,246;3,01;4,725;2,417;4,868;3,663;4,788;5,024;5,236;5,412
;;Morocco;Population;Persons;19,332;19,836;20,354;20,837;21,331;21,838;22,354;22,884;23,407;23,951;24,043;24,524;24,999;25,469;25,926;26,386;26,848;27,31;27,775;28,238;28,466;28,833;29,185;29,52;29,84;30,172;30,506;30,841;31,177;31,514;31,851;32,187;32,522;32,853;33,179;33,503;33,827;34,15;34,473;34,793;35,112
;;Mozambique;Gross domestic product, constant prices;Percent change;4,228;5;-6,9;-15,7;-6,5;1;-2,3;14,7;8,2;6,5;1;6,552;-6,946;10,121;6,533;2,371;13,605;11,036;10,47;8,72;0,597;12,706;9,231;6,872;8,536;7,737;9,1;7,444;5,776;6,477;7,117;7,436;7,078;7,444;7,373;7;8,2;7,9;8;7,9;17,559
;;Mozambique;Population;Persons;12,142;12,439;12,729;12,993;13,201;13,339;13,391;13,375;13,349;13,395;13,568;13,894;14,35;14,893;15,453;15,982;16,463;16,915;17,351;17,798;18,276;18,786;19,32;19,873;20,439;21,01;21,587;22,171;22,763;23,361;23,967;24,581;25,203;25,834;26,491;27,122;27,808;28,494;29,181;29,867;30,553
;;Myanmar;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5,773;10,945;13,746;11,344;12,026;13,844;13,565;13,569;13,076;11,991;3,6;5,144;5,345;5,591;7,333;8,428;8,465;8,499;8,397;8,339;7,952;7,673;7,7
;;Myanmar;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;45,296;45,874;46,379;46,801;47,153;47,455;47,74;48,033;48,338;48,653;48,983;49,334;49,708;50,11;50,537;50,979;51,419;51,846;52,254;52,645;53,019;53,378;53,722
;;Namibia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5,343;9,27;-1,62;3,005;4,115;3,196;4,216;3,291;3,366;3,497;2,393;6,68;3,477;6,632;4,67;3,948;3,646;2,647;0,296;6,04;5,121;5,147;5,117;4,461;4,778;5,034;6,242;5,807;4,477;4,356
;;Namibia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,345;1,403;1,455;1,504;1,549;1,594;1,643;1,696;1,75;1,805;1,828;1,83;1,86;1,891;1,923;1,957;1,992;1,991;2,021;2,051;2,082;2,113;2,143;2,173;2,203;2,221;2,24;2,258;2,277;2,296;2,315
;;Nepal;Gross domestic product, constant prices;Percent change;-2,32;8,341;3,78;-2,978;9,681;6,145;4,566;1,7;7,697;4,328;4,635;6,366;4,108;3,847;8,219;3,468;5,338;5,261;2,943;4,483;6,116;5,629;0,12;3,945;4,683;3,479;3,365;3,412;6,105;4,533;4,816;3,422;4,781;4,129;5,381;3,363;4,388;5,359;3,923;3,798;3,759
;;Nepal;Population;Persons;14,397;14,729;15,07;15,421;15,78;16,144;16,513;16,888;17,274;17,68;18,111;18,569;19,051;19,552;20,065;20,587;21,115;21,647;22,175;22,69;23,184;23,655;24,103;24,526;24,922;25,292;25,634;25,95;26,249;26,545;26,846;27,156;27,474;27,79;28,109;28,432;28,758;29,088;29,422;29,76;30,102
;;Netherlands;Gross domestic product, constant prices;Percent change;n/a;-0,514;-1,283;1,758;3,119;2,656;3,125;1,85;4,586;4,421;4,182;2,44;1,706;1,256;2,96;2,564;3,562;4,297;4,531;5,048;4,245;2,128;0,103;0,285;2,028;2,156;3,52;3,696;1,708;-3,773;1,401;1,664;-1,057;-0,494;1,013;1,797;1,865;1,939;1,863;1,955;2,123
;;Netherlands;Population;Persons;14,15;14,247;14,313;14,367;14,424;14,492;14,572;14,665;14,76;14,849;14,952;15,07;15,184;15,29;15,383;15,459;15,53;15,611;15,707;15,812;15,926;16,046;16,149;16,225;16,282;16,32;16,346;16,382;16,446;16,53;16,615;16,693;16,755;16,804;16,864;16,935;17,01;17,046;17,083;17,118;17,12
;;New Zealand;Gross domestic product, constant prices;Percent change;1,009;2,961;2,878;-0,124;6,858;1,213;1,81;2,436;0,555;1,516;1,121;-2,129;0,874;4,914;6,665;4,199;3,943;2,962;0,692;4,531;3,979;2,155;5,202;4,618;4,375;2,816;2,354;3,714;-0,831;0,458;2,014;1,331;2,887;2,481;3,309;2,222;2,426;2,441;2,504;2,508;2,549
;;New Zealand;Population;Persons;3,126;3,143;3,167;3,198;3,23;3,261;3,291;3,32;3,351;3,385;3,425;3,516;3,552;3,598;3,648;3,707;3,762;3,803;3,829;3,851;3,873;3,916;3,99;4,062;4,114;4,161;4,209;4,246;4,28;4,332;4,374;4,399;4,426;4,476;4,555;4,615;4,652;4,689;4,727;4,765;4,803
;;Nicaragua;Gross domestic product, constant prices;Percent change;4,612;5,361;-0,817;4,615;-1,566;-4,084;-1,015;-0,706;-12,4;-1,694;-0,132;-0,154;0,4;-0,4;5;5,912;6,344;3,967;3,712;7,036;4,102;2,961;0,754;2,521;5,312;4,282;4,152;5,288;2,852;-2,759;3,191;6,232;5,132;4,511;4,703;4;4,25;4;4;4;4
;;Nicaragua;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4,557;4,658;4,752;4,844;4,932;5,017;5,098;5,174;5,245;5,313;5,381;5,45;5,638;5,708;5,779;5,85;5,923;5,997;6,071;6,134;6,198;6,27;6,342;6,413;6,484;6,556;6,631
;;Niger;Gross domestic product, constant prices;Percent change;4,886;-0,178;2,174;-3,864;-16,82;7,718;6,352;0,088;6,871;0,957;-1,308;2,49;-6,516;1,449;4,005;-6,611;5,089;0,496;12,712;0,994;-2,584;8,04;5,338;7,055;-0,825;8,416;5,807;3,166;9,65;-0,712;8,36;2,21;11,848;4,583;6,902;4,294;5,437;8,081;7,584;7,457;9,015
;;Niger;Population;Persons;5,436;5,621;5,816;6,019;6,224;6,431;6,639;6,852;7,069;7,292;7,523;7,771;8,035;8,314;8,605;8,904;9,215;9,538;9,871;10,177;10,493;11,06;11,456;11,834;12,225;12,792;13,248;13,716;14,198;14,693;15,148;15,618;16,102;16,601;17,116;17,647;18,194;18,758;19,339;19,939;20,557
;;Nigeria;Gross domestic product, constant prices;Percent change;2,872;20,838;-1,053;-5,05;-2,022;8,323;-8,754;-10,752;7,543;6,467;12,766;2,206;3,209;4,835;3,552;2,236;7,606;5,298;5,15;2,8;7,701;7,035;6,898;11,889;8,791;8,677;8,327;9,061;8,014;8,971;9,969;4,887;4,279;5,394;6,31;3,957;4,285;4,537;4,718;4,915;5,102
;;Nigeria;Population;Persons;68,447;70,388;72,318;74,272;76,299;78,435;80,688;83,043;85,488;87,998;90,557;93,161;95,725;98,36;101,068;103,85;106,709;109,647;112,665;115,766;118,953;122,228;125,593;129,05;132,602;136,253;140,004;143,854;147,81;151,874;156,051;160,342;164,752;169,282;173,938;178,721;183,636;188,686;193,875;199,206;204,684
;;Norway;Gross domestic product, constant prices;Percent change;4,515;1,598;0,235;3,973;6,052;5,553;4,042;1,753;-0,255;1,038;1,932;3,085;3,575;2,845;5,055;4,154;5,028;5,285;2,624;2,013;3,205;2,085;1,438;0,92;3,959;2,625;2,395;2,93;0,384;-1,623;0,602;0,969;2,749;0,742;2,209;0,871;1,262;1,624;1,912;2,016;2,032
;;Norway;Population;Persons;4,092;4,107;4,123;4,134;4,146;4,159;4,174;4,198;4,221;4,233;4,25;4,274;4,299;4,325;4,348;4,37;4,393;4,413;4,441;4,473;4,501;4,519;4,547;4,573;4,599;4,632;4,672;4,722;4,787;4,843;4,908;4,973;5,038;5,096;5,156;5,213;5,271;5,328;5,387;5,446;5,506
;;Oman;Gross domestic product, constant prices;Percent change;6,079;17,096;11,501;15,947;13,904;14,523;2,145;-3,992;5,245;2,983;8,378;6,044;8,492;6,144;3,845;4,831;2,889;6,178;2,704;0,332;6,549;4,483;-1,101;-2,667;1,291;2,49;5,373;4,452;8,201;6,112;4,803;4,095;5,764;4,693;2,948;4,363;2,849;2,018;1,369;1,208;0,958
;;Oman;Population;Persons;1,357;1,47;1,47;1,583;1,696;1,696;1,809;1,922;1,922;2,035;1,843;1,91;1,979;2,047;2,112;2,172;2,225;2,274;2,318;2,361;2,402;2,443;2,484;2,526;2,57;2,618;2,67;2,726;2,785;2,883;2,885;2,993;3,291;3,594;3,717;3,84;3,957;4,079;4,206;4,338;4,476
;;Pakistan;Gross domestic product, constant prices;Percent change;8,526;6,831;6,537;6,778;5,065;7,592;5,502;6,452;7,625;4,96;4,459;5,417;7,57;2,097;4,369;5,062;6,599;1,703;3,494;4,184;3,906;1,97;3,112;4,726;7,483;8,958;5,82;5,537;4,988;0,361;2,581;3,624;3,837;3,653;4,026;4,239;4,5;4,5;5,2;5,202;5,2
;;Pakistan;Population;Persons;82,432;84,87;87,38;89,89;92,4;94,93;97,5;100,09;102,71;105,35;108,4;110,8;114,075;117,02;119,99;122,985;126;129,035;132,085;135,125;137,53;140,36;143,17;146,75;149,65;152,53;155,37;158,17;164,66;168,18;171,73;175,305;178,91;182,53;186,19;189,87;193,566;197,275;200,997;204,728;208,468
;;Palau;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4,213;6,401;-5,983;7,388;1,528;-2,631;0,025;-4,808;-10,472;3,742;4,729;3,197;-1,763;4,902;4;2,7;2,5;2,2;2,2;2
;;Palau;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,019;0,019;0,019;0,02;0,02;0,02;0,02;0,019;0,019;0,019;0,018;0,018;0,018;0,018;0,018;0,018;0,018;0,018;0,018;0,019;0,019
;;Panama;Gross domestic product, constant prices;Percent change;4,5;9,207;5,348;-4,491;2,709;4,942;3,568;-1,809;-13,38;1,562;8,099;9,418;8,203;5,456;2,849;1,752;7,371;6,461;7,341;3,917;2,715;0,574;2,229;4,206;7,522;7,191;8,528;12,113;10,117;3,856;7,452;10,861;10,795;8,374;6,193;6,006;6,302;6,604;7,004;6,296;5,995
;;Panama;Population;Persons;1,982;2,03;2,078;2,127;2,176;2,225;2,274;2,324;2,374;2,424;2,474;2,527;2,581;2,636;2,691;2,747;2,804;2,862;2,921;2,98;3,041;3,102;3,164;3,227;3,289;3,351;3,413;3,476;3,538;3,6;3,662;3,724;3,788;3,851;3,928;4,006;4,086;4,168;4,252;4,337;4,423
;;Papua New Guinea;Gross domestic product, constant prices;Percent change;-2,309;1,149;0,832;3,438;-0,983;3,578;5,654;2,762;2,909;-1,424;-2,996;9,55;13,828;18,206;5,946;-3,446;6,599;-6,343;4,682;1,856;-2,455;-0,045;2,008;4,388;0,57;3,924;2,294;7,152;6,614;6,134;7,68;10,669;8,091;5,53;8,54;12,3;3,009;3,104;3,142;3,16;3,187
;;Papua New Guinea;Population;Persons;2,96;3,04;3,11;3,18;3,25;3,33;3,4;3,35;3,45;3,6;3,758;3,875;4,181;4,288;4,401;4,52;4,64;4,761;4,883;5,006;5,13;5,256;5,384;5,515;5,647;5,781;5,917;6,056;6,196;6,339;6,604;6,88;7,167;7,346;7,53;7,718;7,911;8,109;8,312;8,519;8,732
;;Paraguay;Gross domestic product, constant prices;Percent change;11,712;9,17;-1,398;-3,043;2,817;3,872;0,263;4,072;5,881;5,817;4,12;3,49;1,696;4,936;5,318;6,823;1,574;4,242;0,068;-1,366;-2,314;-0,834;-0,021;4,321;4,057;2,133;4,807;5,422;6,359;-3,966;13,093;4,342;-1,239;14,225;4,35;3,016;3,834;4,106;4,152;4,057;4,06
;;Paraguay;Population;Persons;3,114;3,207;3,303;3,402;3,504;3,609;3,723;3,841;3,963;4,089;4,089;4,354;4,461;4,568;4,675;4,782;4,888;4,888;4,888;4,888;5,346;5,456;5,567;5,677;5,788;5,899;6,009;6,12;6,23;6,341;6,451;6,562;6,673;6,786;6,901;7,017;7,136;7,257;7,38;7,504;7,631
;;Peru;Gross domestic product, constant prices;Percent change;7,661;5,461;-0,324;-9,329;3,801;2,089;12,106;7,738;-9,422;-13,422;-5,09;2,219;-0,542;5,246;12,308;7,41;2,799;6,477;-0,392;1,494;2,695;0,617;5,455;4,165;4,959;6,284;7,529;8,518;9,143;1,049;8,451;6,451;5,951;5,771;2,35;2,4;3,296;5,543;5,2;4,314;4,007
;;Peru;Population;Persons;17,324;17,76;18,197;18,635;19,074;19,516;19,963;20,415;20,867;21,315;21,753;22,18;22,597;22,639;22,989;23,345;23,706;24,073;24,445;24,823;25,207;25,597;25,993;26,395;26,804;27,219;27,64;28,221;28,657;29,101;29,552;30,009;30,474;30,946;31,424;31,911;32,405;32,907;33,416;33,934;34,459
;;Philippines;Gross domestic product, constant prices;Percent change;5,149;3,423;3,619;1,875;-7,324;-7,307;3,417;4,312;6,753;6,205;3,037;-0,578;0,338;2,116;4,388;4,679;5,846;5,185;-0,577;3,082;4,411;2,894;3,646;4,97;6,698;4,778;5,243;6,617;4,153;1,148;7,632;3,66;6,684;7,055;6,132;6,002;6,3;6,51;6,507;6,51;6,512
;;Philippines;Population;Persons;47,88;49,089;50,318;51,586;52,864;54,172;55,49;56,877;58,165;59,553;60,94;62,36;63,82;65,32;66,84;68,41;70,01;71,65;75,16;76,78;76,79;78,59;80,16;81,88;83,56;85,26;86,97;88,71;90,5;91;92,6;94,2;95,8;97,484;99,434;101,423;103,451;105,52;107,631;109,783;111,979
;;Poland;Gross domestic product, constant prices;Percent change;-6;-10;-4,846;5,6;-0,366;3,862;3,494;2,302;3,285;3,812;-7,171;-7,005;2,033;4,287;5,239;6,728;6,239;7,086;4,982;4,524;4,26;1,205;1,443;3,562;5,136;3,547;6,193;7,202;3,92;2,634;3,699;4,762;1,761;1,728;3,444;3,528;3,503;3,584;3,559;3,568;3,595
;;Poland;Population;Persons;35,567;35,887;36,216;36,731;37,049;37,327;37,558;37,75;37,786;37,824;38,186;38,286;38,386;38,501;38,581;38,581;38,609;38,639;38,66;38,667;38,263;38,254;38,242;38,219;38,191;38,174;38,157;38,125;38,116;38,136;38,023;38,063;38,064;38,063;38,018;38,006;38,003;37,996;37,984;37,972;37,96
;;Portugal;Gross domestic product, constant prices;Percent change;6,725;3,523;2,163;0,972;-1,042;1,636;3,32;7,632;5,34;6,649;7,859;3,37;3,13;-0,687;1,489;2,307;3,497;4,426;4,792;3,888;3,788;1,943;0,769;-0,934;1,812;0,767;1,553;2,492;0,199;-2,978;1,899;-1,827;-4,028;-1,605;0,892;1,561;1,544;1,4;1,25;1,16;1,151
;;Portugal;Population;Persons;9,778;9,828;9,892;9,948;9,984;10,025;10,039;10,043;10,034;10,023;10,005;9,979;9,974;9,983;9,999;10,026;10,064;10,109;10,16;10,218;10,29;10,363;10,42;10,459;10,484;10,503;10,522;10,543;10,558;10,568;10,573;10,558;10,515;10,457;10,394;10,404;10,412;10,419;10,427;10,434;10,442
;;Qatar;Gross domestic product, constant prices;Percent change;-1,016;-3,894;-8,21;-5,329;15,988;-13,031;3,706;0,9;4,7;5,3;-14,644;-1,662;11,33;-1,324;1,418;2,399;4,375;30,012;11,218;4,284;8,028;3,898;7,182;3,72;19,219;7,493;26,17;17,986;17,664;11,957;19,592;13,375;4,88;4,582;3,978;4,697;4,947;4,17;3,641;3,293;2,78
;;Qatar;Population;Persons;0,245;0,265;0,285;0,306;0,326;0,345;0,362;0,377;0,392;0,408;0,477;0,485;0,49;0,492;0,495;0,501;0,512;0,529;0,55;0,572;0,594;0,612;0,63;0,66;0,72;0,821;0,968;1,152;1,554;1,632;1,637;1,708;1,837;2,045;2,235;2,437;2,607;2,725;2,779;2,807;2,807
;;Romania;Gross domestic product, constant prices;Percent change;3,304;0,1;3,9;6;6;-0,1;2,4;0,8;-0,5;-5,8;-5,612;-12,927;-8,766;1,528;3,932;7,138;3,948;-6,053;-4,818;-1,15;2,921;5,592;5,184;5,524;8,359;4,172;8,056;6,864;8,459;-7,067;-0,798;1,056;0,641;3,39;2,8;3,365;3,859;3,401;3,161;3,206;3,326
;;Romania;Population;Persons;22,442;22,576;22,683;22,775;22,868;22,971;23,093;23,224;23,346;23,431;23,459;23,423;23,333;23,205;23,064;22,927;22,8;22,679;22,565;22,458;22,435;22,408;21,795;21,628;21,521;21,382;21,257;21,131;20,636;20,44;20,295;20,199;20,096;20,02;19,947;19,861;19,821;19,776;19,73;19,685;19,639
;;Russia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-8,7;-12,7;-4,1;-3,608;1,381;-5,345;6,351;10,046;5,091;4,744;7,253;7,151;6,387;8,153;8,535;5,248;-7,8;4,5;4,3;3,4;1,3;0,6;-3,825;-0,627;1;1,5;1,5;1,5
;;Russia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;147;147,7;148,3;148,6;148,4;148,5;148,3;148,3;147,8;147,5;146,9;146,3;145,2;145;144,3;143,8;143,2;142,8;142,8;142,7;142,8;142,9;143;143,3;143,7;146,3;146,3;146,3;146,3;146,3;146,3;146,3
;;Rwanda;Gross domestic product, constant prices;Percent change;-3,576;2,472;-2,468;6,035;12,974;4,388;5,501;-0,295;0,296;-5,706;0,419;-4,3;6,6;-10,378;-41,89;24,541;11,596;14,9;8,34;5,126;6,497;8,485;13,192;2,202;7,448;9,378;9,227;7,626;11,189;6,246;6,265;7,46;8,788;4,708;6,939;6,467;7;7,5;7,499;7,501;7,5
;;Rwanda;Population;Persons;4,654;4,825;5,006;5,195;5,321;5,502;5,691;5,89;6,097;6,304;6,453;6,652;6,656;6,247;5,79;5,468;5,406;5,66;6,176;6,843;7,495;8,013;8,361;8,578;8,711;8,833;9;9,2;9,5;9,7;10;10,2;10,5;10,8;11,096;11,4;11,691;11,99;12,297;12,611;12,934
;;Samoa;Gross domestic product, constant prices;Percent change;-6,123;-9,056;-1,014;0,485;1,98;5,826;4,79;0,509;2,871;5,819;-6,444;-2,443;4,135;1,683;6,39;6,556;7,274;0,803;1,1;-0,636;5,262;7,44;5,831;4,472;2,929;7,45;1,926;1,123;2,877;-6,437;-2,277;6,164;1,173;-1,079;1,907;2,557;1,607;-0,833;0,847;1,485;2
;;Samoa;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,173;0,174;0,175;0,176;0,177;0,178;0,179;0,18;0,181;0,182;0,183;0,185;0,186;0,187;0,189;0,19;0,192;0,193;0,195;0,196;0,198;0,2;0,201
;;San Marino;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;7,52;8,998;2,203;5,539;0,315;3,9;4,565;2,426;3,826;7,103;1,65;-12,786;-4,648;-9,466;-7,517;-4,5;-1;0,969;1,1;1,2;1,3;1,251;1,3
;;San Marino;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,029;0,03;0,03;0,03;0,031;0,031;0,031;0,031;0,031;0,031;0,031;0,031;0,031;0,031;0,031;0,031;0,031
;;São Tomé and Príncipe;Gross domestic product, constant prices;Percent change;-1,08;-10,314;3,093;-3,874;-6,03;9,3;-5,832;-2,93;1,999;3,135;-2,153;1,201;0,7;1,1;2,2;2;1,5;0,996;2,5;2,5;0,448;3,064;2,323;6,599;3,824;7,096;9,109;0,584;8,059;4,012;4,467;4,764;4,496;4;4,5;5;5,2;5,5;5,5;6;6
;;São Tomé and Príncipe;Population;Persons;0,089;0,09;0,092;0,095;0,097;0,099;0,102;0,105;0,108;0,111;0,114;0,118;0,121;0,123;0,125;0,127;0,13;0,132;0,135;0,137;0,139;0,142;0,144;0,147;0,151;0,155;0,159;0,163;0,168;0,173;0,178;0,183;0,188;0,193;0,198;0,203;0,208;0,213;0,217;0,222;0,227
;;Saudi Arabia;Gross domestic product, constant prices;Percent change;6,519;4,691;-11,098;-8,217;-3,088;-4,324;4,846;-3,76;8,224;0,063;8,329;9,104;4,629;0,026;0,665;0,201;3,384;2,593;2,835;-0,748;4,865;0,548;0,128;8,288;8,62;7,256;5,577;5,992;8,427;1,829;4,762;9,959;5,384;2,67;3,468;3,43;2,21;2,877;3,025;3,098;3,176
